Smooth Jazz Intro a,Smooth Jazz.bfd3pal,1,0
Smooth Jazz Intro a Crash,Smooth Jazz.bfd3pal,1,0
Smooth Jazz Intro b,Smooth Jazz.bfd3pal,0,0
Smooth Jazz Intro b Crash,Smooth Jazz.bfd3pal,0,0
Smooth Jazz Intro FBar1,Smooth Jazz.bfd3pal,1,1
Smooth Jazz Intro FBar2,Smooth Jazz.bfd3pal,0,1
Smooth Jazz CH a,Smooth Jazz.bfd3pal,1,8
Smooth Jazz CH a Crash,Smooth Jazz.bfd3pal,1,8
Smooth Jazz CH b,Smooth Jazz.bfd3pal,2,7
Smooth Jazz CH b Crash,Smooth Jazz.bfd3pal,2,7
Smooth Jazz CH c,Smooth Jazz.bfd3pal,3,7
Smooth Jazz CH c Crash,Smooth Jazz.bfd3pal,3,7
Smooth Jazz CH FBar1,Smooth Jazz.bfd3pal,2,8
Smooth Jazz CH FBar2,Smooth Jazz.bfd3pal,5,0
Smooth Jazz CH FBar3,Smooth Jazz.bfd3pal,0,8
Smooth Jazz Ride1 a,Smooth Jazz.bfd3pal,8,2
Smooth Jazz Ride1 a Crash,Smooth Jazz.bfd3pal,9,1
Smooth Jazz Ride1 b,Smooth Jazz.bfd3pal,7,2
Smooth Jazz Ride1 b Crash,Smooth Jazz.bfd3pal,7,2
Smooth Jazz Ride1 FBar1,Smooth Jazz.bfd3pal,7,2
Smooth Jazz Ride1 FBar2,Smooth Jazz.bfd3pal,9,1
Smooth Jazz Ride2 a,Smooth Jazz.bfd3pal,8,2
Smooth Jazz Ride2 a Crash,Smooth Jazz.bfd3pal,8,2
Smooth Jazz Fill 1,Smooth Jazz.bfd3pal,5,8
Smooth Jazz Fill 2,Smooth Jazz.bfd3pal,7,9
Erskine Rock 1,Peter Erskine Rock.bfd3pal,6,1
Erskine Rock 2,Peter Erskine Rock.bfd3pal,7,0
Erskine Rock 3,Peter Erskine Rock.bfd3pal,7,0
Erskine Rock 4,Peter Erskine Rock.bfd3pal,7,0
Erskine Rock 5,Peter Erskine Rock.bfd3pal,8,0
Erskine Rock 6,Peter Erskine Rock.bfd3pal,8,1
Erskine Rock 7,Peter Erskine Rock.bfd3pal,7,1
Erskine Rock 8,Peter Erskine Rock.bfd3pal,2,5
Erskine Rock 9,Peter Erskine Rock.bfd3pal,2,5
Erskine Rock 10,Peter Erskine Rock.bfd3pal,2,5
Erskine Rock 11,Peter Erskine Rock.bfd3pal,3,5
Erskine Rock 12,Peter Erskine Rock.bfd3pal,2,5
Erskine Rock 13,Peter Erskine Rock.bfd3pal,2,5
Erskine Rock 14,Peter Erskine Rock.bfd3pal,9,4
Erskine Rock 15,Peter Erskine Rock.bfd3pal,9,0
Erskine Rock 16,Peter Erskine Rock.bfd3pal,6,1
Erskine Rock 17,Peter Erskine Rock.bfd3pal,6,9
Erskine Rock 18,Peter Erskine Rock.bfd3pal,2,6
Erskine Rock 19,Peter Erskine Rock.bfd3pal,7,3
Erskine Rock Fill 1,Peter Erskine Rock.bfd3pal,9,3
Erskine Rock Fill 2,Peter Erskine Rock.bfd3pal,9,2
Erskine Rock Fill 3,Peter Erskine Rock.bfd3pal,9,5
Erskine Rock Fill 4,Peter Erskine Rock.bfd3pal,9,4
Erskine Rock Fill 5,Peter Erskine Rock.bfd3pal,4,5
Erskine Rock Fill 6,Peter Erskine Rock.bfd3pal,4,1
Erskine Rock Fill 7,Peter Erskine Rock.bfd3pal,4,6
Erskine Rock Fill 8,Peter Erskine Rock.bfd3pal,3,0
Erskine Rock Fill 9,Peter Erskine Rock.bfd3pal,6,4
Erskine Rock Fill 10,Peter Erskine Rock.bfd3pal,8,3
JB 1,Stanton Moore JB.bfd3pal,6,7
JB 2,Stanton Moore JB.bfd3pal,4,8
JB 3,Stanton Moore JB.bfd3pal,5,7
